Augmentation Index,Transformation,Model,CAM Method,Target Class,Score,Predicted Class,Augmented Image Path
1,Brightness,ResNet50,CAM,852,0.0077,644,CAM/ex3/exports\brightness_1.png
2,Brightness,ResNet50,CAM,852,0.0188,720,CAM/ex3/exports\brightness_2.png
3,Brightness,ResNet50,CAM,852,0.9668,852,CAM/ex3/exports\brightness_3.png
4,Brightness,ResNet50,CAM,852,0.9978,852,CAM/ex3/exports\brightness_4.png
5,Brightness,ResNet50,CAM,852,0.9988,852,CAM/ex3/exports\brightness_5.png
6,Brightness,ResNet50,CAM,852,0.9994,852,CAM/ex3/exports\brightness_6.png
7,Brightness,ResNet50,CAM,852,0.9981,852,CAM/ex3/exports\brightness_7.png
8,Brightness,ResNet50,CAM,852,0.9986,852,CAM/ex3/exports\brightness_8.png
9,Brightness,ResNet50,CAM,852,0.2645,852,CAM/ex3/exports\brightness_9.png
10,Brightness,ResNet50,CAM,852,0.0019,549,CAM/ex3/exports\brightness_10.png
